nct_id,indication
NCT05848999,Solid Tumors
NCT05843448,Muscle Invasive Bladder Cancer
NCT05843448,Urothelial Carcinoma
NCT05843448,Urothelial Carcinoma
NCT05843448,Bladder Cancer
NCT05701709,Solid Tumors
NCT05371054,Hematology
NCT05371054,Non-Hodgkin Lymphoma
NCT05371054,Non-Hodgkin Lymphoma
NCT05371054,Hematology
NCT05371054,Leukemia
NCT05754801,Cancer
NCT05754801,Palliative Care
NCT05744921,Paroxysmal Nocturnal Hemoglobinuria
NCT05661591,Malignant Tumor
NCT05715398,Non-Small Cell Lung Cancer
NCT05675813,T-Cell Non-Hodgkin Lymphoma
NCT05716113,Neoplasms
NCT05716113,Hematology
NCT05716113,Hematology
NCT05716113,Hematology
NCT05784870,Hematology
NCT05784870,Cancer-Related Anemia
NCT05722795,Breast Cancer
NCT05722795,Triple-Negative Breast Cancer
NCT05870995,Leukemia
NCT05679258,Multiple Myeloma
NCT05603559,Castration-Resistant Prostate Carcinoma
NCT05608785,Gastric Cancer
NCT05608785,Gastroesophageal Junction Cancer
NCT05668767,Extensive Stage Lung Small Cell Carcinoma
NCT05669807,Second Line Treatment of Gastric Cancer
NCT05990998,Tumor Positron-Emission Tomography
NCT06350838,Muscle Invasive Bladder Cancer
NCT05198843,Breast Cancer
NCT05198843,Triple-Negative Breast Cancer
NCT05208762,Non-Small Cell Lung Cancer
NCT05208762,Head and Neck Squamous Cell Carcinoma
NCT05208762,Esophageal Cancer
NCT05208762,Female Reproductive System Neoplasm
NCT05208762,Male Reproductive System Neoplasm
NCT05208762,Triple-Negative Breast Cancer
NCT05208762,Gastric Cancer
NCT05425862,Castration-Resistant Prostate Carcinoma
NCT04892277,B-Cell Non-Hodgkin Lymphoma
NCT04892277,Chronic Lymphocytic Leukemia
NCT04892277,Small Lymphocytic Lymphoma
NCT04892277,Chronic Lymphocytic Leukemia
NCT04892277,B-Cell Non-Hodgkin Lymphoma
NCT04892277,Chronic Lymphocytic Leukemia
NCT04892277,Small Lymphocytic Lymphoma
NCT04892277,Chronic Lymphocytic Leukemia
NCT05521412,Prostate Cancer
NCT05521412,Castration-Resistant Prostate Carcinoma
NCT05489731,Non-Small Cell Lung Cancer
NCT05480449,Acute Lymphoblastic Leukemia
NCT05480449,B-Cell Non-Hodgkin Lymphoma
NCT05285358,Extrahepatic Cholangiocarcinoma
NCT05285358,Gallbladder Carcinoma
NCT05285358,Intrahepatic Cholangiocarcinoma
NCT05285358,Peritoneal and Retroperitoneal Neoplasm
NCT05285358,Extrahepatic Bile Duct Carcinoma
NCT05285358,Liver Cancer
NCT05285358,Intrahepatic Cholangiocarcinoma
NCT05285358,Gallbladder Carcinoma
NCT05322135,Head and Neck Squamous Cell Carcinoma
NCT05322135,Head and Neck Neoplasm
NCT05496231,Intraepithelial Neoplasia
NCT05779514,Solid Tumors
NCT05111574,Acral Melanoma
NCT05111574,Urinary System Neoplasm
NCT05111574,Female Reproductive System Neoplasm
NCT05111574,Digestive System Neoplasm
NCT05111574,Digestive System Neoplasm
NCT05111574,Head and Neck Neoplasm
NCT05111574,Head and Neck Neoplasm
NCT05111574,Urinary System Neoplasm
NCT05111574,Head and Neck Neoplasm
NCT05111574,Head and Neck Neoplasm
NCT05111574,Male Reproductive System Neoplasm
NCT05111574,Digestive System Neoplasm
NCT05111574,Recurrent Mucosal Melanoma
NCT05111574,Head and Neck Neoplasm
NCT05111574,Vulvar Carcinoma
NCT05111574,Vulvar Carcinoma
NCT05111574,Vulvar Carcinoma
NCT05111574,Urinary System Neoplasm
NCT05111574,Female Reproductive System Neoplasm
NCT05111574,Vulvar Melanoma
NCT05491512,Female Reproductive System Neoplasm
NCT05491512,Head and Neck Neoplasm
NCT05491512,Oropharyngeal Cancer
NCT05491512,Oropharyngeal Cancer
NCT05491512,Human Papilloma Virus
NCT06469138,Non-Small Cell Lung Cancer
NCT06469138,Metastatic Melanoma
NCT06469138,Acute Myeloid Leukemia
NCT06469138,Myelodysplastic Syndrome
NCT06469138,Pancreatic Cancer
NCT06469138,Glioblastoma
NCT06469138,Pleural Malignant Mesothelioma
NCT06469138,COVID-19
NCT05463601,Brain Metastasis
NCT05406466,Male Reproductive System Neoplasm
NCT05465343,Furmonertinib
NCT05465343,Lung Adenocarcinoma
NCT05465343,Non-Small Cell Lung Cancer
NCT05465343,Brain Metastasis
NCT05480865,Epithelial Neoplasm
NCT05480865,Solid Tumors
NCT05480865,Metastatic NSCLC
NCT05480865,Non-Small Cell Lung Cancer
